uid,name,province,city,area,address,lng,lat
c8055ce0351b32c0dad8913e,南山公园别墅-登山口,广东省,深圳市,南山区,深圳市南山区蛇口别墅路8号,113.90074137104295,22.48809598529897
d6ab8ebe8c97452b5b10934c,立新湖公园,广东省,深圳市,宝安区,广东省深圳市宝安区,113.81540249235216,22.68790842760123
9e1ec5303177dab39c09f70f,樟坑径公园,广东省,深圳市,龙华区,上围路104号附近,114.07637089659012,22.682794867369648
29a2581c27b5cff1f1193725,罗湖体育休闲公园,广东省,深圳市,罗湖区,广东省深圳市罗湖区黄贝街道办爱国路东湖二路10号,114.14316703590875,22.557076474094213
3a0d753d93acf7a62811d171,黄金山公园,广东省,深圳市,龙岗区,深圳市龙岗区坂雪岗大道西侧(中海日辉台对面),114.05967415378929,22.641522009142836
3b440ee8835e4e629b68b481,铁路公园,广东省,深圳市,罗湖区,草埔地铁站D3口东南50米,114.11043963025904,22.585455382621813
06c1f68b7bb8ce51b05c6a1b,银湖山郊野公园-文谷庄园,广东省,深圳市,龙岗区,广东省深圳市龙岗区文博路,114.09199002459518,22.605326319384417
2a8fde5bba565e6d17948e53,簕杜鹃谷公园,广东省,深圳市,宝安区,广东省深圳市宝安区九围看守所路,113.85617534441603,22.653003162486325
a2ec0d2dfb3f5626901fc993,景田北六街街心公园(宠物主题园),广东省,深圳市,福田区,深圳市福田区花景道(北六街与景田北八街交界处),114.0306045656716,22.560979058552366
4634f4d0c3446cf5882fb597,白石龙音乐主题公园,广东省,深圳市,龙华区,深圳市龙华区新区大道与金龙路交叉口西南200米,114.03362382555312,22.59992998831626
16b8c468459c86d4ad080fc0,羊台山森林公园-大浪文化公园,广东省,深圳市,龙华区,广东省深圳市龙华区布龙路,113.98331936679027,22.672087881477516
f5e3bcae6e7d56bc5e17c31a,桥头社区公园,广东省,深圳市,宝安区,深圳市宝安区桥兴路与桥和路交叉口处附近,113.80211577947583,22.69056209030728
8a54cb2a7eb7be5a715e806b,深圳湾公园C区-运动公园,广东省,深圳市,南山区,广东省深圳市南山区望海路深圳湾公园运动公园附近,113.9421409634926,22.48919786534541
d0c2114f936fdbb404026f10,观澜河湿地公园,广东省,深圳市,龙华区,广东省深圳市龙华区观澜大道观澜河人工湿地(招商澜园西),114.03930388716422,22.68653251581697
e2d7fabc485db92ffb2213f6,九祥岭社区公园,广东省,深圳市,南山区,广东省深圳市南山区留仙大道1312附近,113.95476491560201,22.587359286393752
b533ea4aa766d6424f6d4632,小南山公园,广东省,深圳市,南山区,深圳市南山区蛇口镇棉山路,113.87972246482862,22.48803203937573
aeb4c5b1ba6667e807fef522,日本园(茶花园),广东省,深圳市,福田区,深圳市福田区深圳国际园林花卉博览园南区,113.99752621294704,22.538096599524007
