uid,boundary
ea6bcce342b5e9f779f79692,"113.94283539256995,22.58083249720303;113.94319471477382,22.58049045046391;113.94358233360126,22.580058052100746;113.94411996944879,22.57956441717653;113.94417009489624,22.579436440549586;113.94413344403144,22.578475694313752;113.94412724572342,22.578302415550436;113.94440329500655,22.578226746806134;113.94503642072976,22.57818169593509;113.94524051574157,22.578201384836117;113.94530465475496,22.578322354716423;113.94523898862221,22.580046706109393;113.94520772759047,22.581126906988892;113.9451728733367,22.581339976184776;113.94504989531241,22.58137209504405;113.94423854577609,22.581254548324818;113.94373720147112,22.581181801120568;113.94336395553185,22.5811498490679;113.94314881136228,22.581141506494163;113.94309877574538,22.581111640076003;113.94296160449406,22.580978075371636;113.94283539256995,22.58083249720303"
6733c523dc2bba3841d63e65,"113.95606797171087,22.57371099030687;113.95770701994383,22.57373201473849;113.95773208266755,22.571910969897072;113.95762204024261,22.57182203200333;113.95716004171899,22.571826036712743;113.95716399426323,22.57205096770226;113.9571436925587,22.57219463633729;113.95658000585138,22.57219697241141;113.95658000585138,22.57183796740882;113.95610803613658,22.571842973294977;113.95606797171087,22.57371099030687"
4d7228f01dc96c6ced74f8ce,"113.92304837848107,22.509065789049195;113.92305602306095,22.508453793788373;113.92307429908654,22.508241533089198;113.92310877874692,22.50788103287584;113.9228950619848,22.507891625705014;113.9227054593358,22.5078658324713;113.92241869686117,22.507676735474533;113.92231738686408,22.507648464790293;113.92209558265748,22.50770823404652;113.92203933525798,22.507766182615562;113.92201620658602,22.507816567139304;113.92201968213004,22.508343392223214;113.92196384166296,22.508988206915962;113.92304837848107,22.509065789049195"
022cf994539e0bb414b54b1a,"113.92323598329862,22.510388971554786;113.92323104261833,22.509233004291822;113.92377496660443,22.50915003536503;113.92527100460026,22.509257961735806;113.92526777070042,22.50980218312691;113.92526166222295,22.509938238136094;113.92523399441325,22.510360007803865;113.92323598329862,22.510388971554786"
7aea1d1dd8b2f8644e776ea8,"113.95792935055746,22.572417480941287;113.95801468958088,22.57230902049067;113.95836952025721,22.572275648026956;113.95840545247759,22.572221417755987;113.95854918135915,22.572150501215233;113.95867943565806,22.572167187463435;113.95877824926411,22.572283991143646;113.95863452038256,22.57246336802902;113.95858511357953,22.57375654323793;113.95786646917179,22.573748200211405;113.95792935055746,22.572417480941287"
38774564239bf59f704b872e,"113.92087326014706,22.52066821134222;113.92097207375312,22.52065151879423;113.9211562263826,22.52061396055378;113.9215829214997,22.520430342340738;113.92212190480552,22.520284282222296;113.92220275230139,22.520213338679845;113.92220275230139,22.520117356181423;113.92212190480552,22.51995460309518;113.9217577317519,22.519230725096378;113.92141610616656,22.51858972304376;113.92126581965478,22.518324307250868;113.92117455181501,22.518283910588124;113.92034577515177,22.51820236604862;113.920291517499,22.518212298292983;113.92022423441631,22.518263461859657;113.92008724282609,22.51838965967791;113.92028037851067,22.51916587385358;113.92052292099828,22.520021373615556;113.92070707362777,22.520455381202513;113.92087326014706,22.52066821134222"
c8da2b447fc4d58b08f5eb5b,"113.95893293747288,22.547655473017457;113.95914987825348,22.548266965670045;113.95811718623955,22.548523978685147;113.95689800600181,22.548848999320953;113.95647202952912,22.54881103161012;113.956359022696,22.548686030149014;113.95639100237214,22.547313009231914;113.9572272349711,22.54730307910445;113.95724987226995,22.54689026888027;113.95781885897978,22.546914802209276;113.95785003018096,22.54697496725937;113.95900004089447,22.54710097164723;113.95893293747288,22.547655473017457"
883b68924077a2d24354d73a,"113.95941721397315,22.54848409163208;113.96013136685336,22.548546675915166;113.9602661126798,22.54873025631323;113.96022568893187,22.550470085547285;113.95951602757923,22.550482602223962;113.95943518008335,22.550424191056287;113.95941721397315,22.54848409163208"
497cc59fbd45d1ee283a9fa7,"113.96202237001906,22.550843406450934;113.96416854405123,22.550850361198275;113.96422757080798,22.550843206434976;113.96426265412966,22.55081970710324;113.96427379042305,22.550776661519254;113.9642353492354,22.550568081582323;113.96411042009154,22.54988460419542;113.96409434940598,22.549716353442808;113.96405087770744,22.54913326140043;113.96402691630628,22.54908811463076;113.96399179884898,22.549063611983264;113.96394871252352,22.54905179853751;113.96213753548032,22.548923063529905;113.96208327962415,22.548928755344708;113.96204020228173,22.54894579599094;113.96202746071639,22.548984034695;113.96193773886039,22.550776698985754;113.96195052713762,22.55080566860018;113.96198086830452,22.55083166558896;113.96202237001906,22.550843406450934"
729b60d14172f977d6b74e31,"113.95670145675629,22.5330050321435;113.95677781272461,22.532942440732658;113.95686054666206,22.532920074728228;113.95794560988719,22.532904885872377;113.95806238960346,22.532959131778355;113.95804891502081,22.53372274493669;113.95670594828384,22.533697708507415;113.95670145675629,22.5330050321435"
