number,x,y,uid
71,113.96664096956884,22.534930676313408,e41eb1fb40abb0b82fb96db2
72,113.96660105109703,22.53502517673661,e41eb1fb40abb0b82fb96db2
73,113.96663297182275,22.535170684057327,e41eb1fb40abb0b82fb96db2
74,113.96664413830892,22.535309846562765,e41eb1fb40abb0b82fb96db2
75,113.96659623360195,22.535465164578383,e41eb1fb40abb0b82fb96db2
76,113.96652278676665,22.535594951570832,e41eb1fb40abb0b82fb96db2
77,113.96643337647458,22.535697582020973,e41eb1fb40abb0b82fb96db2
78,113.96627930742737,22.535807582644875,e41eb1fb40abb0b82fb96db2
79,113.96606297319424,22.535936145594494,e41eb1fb40abb0b82fb96db2
80,113.96576042194341,22.536122530501892,e41eb1fb40abb0b82fb96db2
81,113.96549379164125,22.536295219795548,e41eb1fb40abb0b82fb96db2
82,113.96538442466036,22.536361102276633,e41eb1fb40abb0b82fb96db2
83,113.96514972802157,22.536451310495384,e41eb1fb40abb0b82fb96db2
84,113.96488629134552,22.536552791554016,e41eb1fb40abb0b82fb96db2
85,113.96479368895343,22.536593030325157,e41eb1fb40abb0b82fb96db2
86,113.96475855963271,22.536661917638707,e41eb1fb40abb0b82fb96db2
87,113.96477611698914,22.536751466573108,e41eb1fb40abb0b82fb96db2
88,113.96476812707694,22.53685228134693,e41eb1fb40abb0b82fb96db2
89,113.9647457701786,22.536938734336736,e41eb1fb40abb0b82fb96db2
90,113.9646866935628,22.537003684097034,e41eb1fb40abb0b82fb96db2
91,113.96465316324547,22.53704936848006,e41eb1fb40abb0b82fb96db2
92,113.96460685876806,22.53711508480275,e41eb1fb40abb0b82fb96db2
93,113.96454299088555,22.53719684572896,e41eb1fb40abb0b82fb96db2
94,113.96442882636964,22.537351532604706,e41eb1fb40abb0b82fb96db2
95,113.96436735364854,22.537436486760303,e41eb1fb40abb0b82fb96db2
96,113.96426995313799,22.53758473007436,e41eb1fb40abb0b82fb96db2
97,113.96420926619007,22.537856870376544,e41eb1fb40abb0b82fb96db2
98,113.96412622597009,22.538154666673947,e41eb1fb40abb0b82fb96db2
99,113.96403361683505,22.538266898967997,e41eb1fb40abb0b82fb96db2
100,113.96396416035626,22.53834467347037,e41eb1fb40abb0b82fb96db2
101,113.96394100025414,22.538497523679847,e41eb1fb40abb0b82fb96db2
102,113.9639186392741,22.538651171552463,e41eb1fb40abb0b82fb96db2
103,113.96388030830924,22.53884965778008,e41eb1fb40abb0b82fb96db2
104,113.96377492763203,22.538949123208102,e41eb1fb40abb0b82fb96db2
105,113.96361047277159,22.539021542068166,e41eb1fb40abb0b82fb96db2
