城市,序号,全称,简称,lng,lat
洛阳,58,地铁1号线(杨湾--红山),1号线,112.39484353074135,34.6565772724112
洛阳,59,地铁1号线(杨湾--红山),1号线,112.3946835345839,34.65658627390025
洛阳,60,地铁1号线(杨湾--红山),1号线,112.39454153762202,34.65660826358099
洛阳,61,地铁1号线(杨湾--红山),1号线,112.39417854486582,34.65671419652836
洛阳,62,地铁1号线(杨湾--红山),1号线,112.39085592762935,34.65766986011905
洛阳,63,地铁1号线(杨湾--红山),1号线,112.38755886250713,34.65860700204767
洛阳,64,地铁1号线(杨湾--红山),1号线,112.37993707605777,34.660667143038026
洛阳,65,地铁1号线(杨湾--红山),1号线,112.37910869880491,34.66090150593487
洛阳,66,地铁1号线(杨湾--红山),1号线,112.37030819491792,34.66344090448449
洛阳,67,地铁1号线(杨湾--红山),1号线,112.36942822491602,34.663699592491724
洛阳,68,地铁1号线(杨湾--红山),1号线,112.36095168989029,34.66607461834955
洛阳,69,地铁1号线(杨湾--红山),1号线,112.36077794846427,34.66615877369877
洛阳,70,地铁1号线(杨湾--红山),1号线,112.36056326567557,34.666297934864964
洛阳,71,地铁1号线(杨湾--红山),1号线,112.36033060104538,34.66654502343241
洛阳,72,地铁1号线(杨湾--红山),1号线,112.36019878868099,34.66671504693588
洛阳,73,地铁1号线(杨湾--红山),1号线,112.36006197564913,34.66697099948279
洛阳,74,地铁1号线(杨湾--红山),1号线,112.36000005053569,34.667180892538234
洛阳,75,地铁1号线(杨湾--红山),1号线,112.35998704810864,34.66739671369229
洛阳,76,地铁1号线(杨湾--红山),1号线,112.36002197335104,34.66758549427091
洛阳,77,地铁1号线(杨湾--红山),1号线,112.36083050237356,34.669609558895566
洛阳,78,地铁1号线(杨湾--红山),1号线,112.36117389555262,34.67036341324553
洛阳,79,地铁1号线(杨湾--红山),1号线,112.36238077488028,34.673205232884094
洛阳,80,地铁1号线(杨湾--红山),1号线,112.36239973453918,34.67332010306542
洛阳,81,地铁1号线(杨湾--红山),1号线,112.36240769891208,34.6735448865607
洛阳,82,地铁1号线(杨湾--红山),1号线,112.36239969589288,34.67368576759005
洛阳,83,地铁1号线(杨湾--红山),1号线,112.3623507506905,34.673855674770316
洛阳,84,地铁1号线(杨湾--红山),1号线,112.36225487836353,34.673998667369034
洛阳,85,地铁1号线(杨湾--红山),1号线,112.36208311955876,34.67414475584049
洛阳,86,地铁1号线(杨湾--红山),1号线,112.36187142101289,34.67429888987489
洛阳,87,地铁1号线(杨湾--红山),1号线,112.36152093200678,34.67447418804295
洛阳,88,地铁1号线(杨湾--红山),1号线,112.35432248708739,34.67653548523661
洛阳,89,地铁1号线(杨湾--红山),1号线,112.34973663802737,34.67799232154572
洛阳,90,地铁1号线(杨湾--红山),1号线,112.348898183357,34.678303398195276
洛阳,91,地铁1号线(杨湾--红山),1号线,112.3480727221049,34.67860447724137
洛阳,92,地铁1号线(杨湾--红山),1号线,112.34702570305109,34.678929917823254
洛阳,93,地铁1号线(杨湾--红山),1号线,112.3462801277985,34.67917294630753
洛阳,94,地铁1号线(杨湾--红山),1号线,112.34554753823882,34.679425954001495
洛阳,95,地铁1号线(杨湾--红山),1号线,112.3441392844366,34.67988594292516
洛阳,96,地铁1号线(杨湾--红山),1号线,112.3412690012244,34.68084308281039
洛阳,97,地铁1号线(杨湾--红山),1号线,112.33970620492191,34.6810926420596
洛阳,98,地铁1号线(杨湾--红山),1号线,112.33617260097499,34.68154065839506
洛阳,99,地铁1号线(杨湾--红山),1号线,112.33366795922338,34.681703154091686
洛阳,100,地铁1号线(杨湾--红山),1号线,112.33253240555631,34.681829163926395
洛阳,101,地铁1号线(杨湾--红山),1号线,112.33094883011185,34.68206992436973
洛阳,102,地铁1号线(杨湾--红山),1号线,112.3293692610734,34.682353655357524
洛阳,103,地铁1号线(杨湾--红山),1号线,112.32854206460337,34.682500093612184
洛阳,104,地铁1号线(杨湾--红山),1号线,112.327786712767,34.68265339193999
洛阳,105,地铁1号线(杨湾--红山),1号线,112.32672503448488,34.68286322641997
洛阳,106,地铁1号线(杨湾--红山),1号线,112.32623211128701,34.682986056080175
洛阳,107,地铁1号线(杨湾--红山),1号线,112.32522232043524,34.68322976551186
洛阳,108,地铁1号线(杨湾--红山),1号线,112.32445199672836,34.683516977310354
洛阳,109,地铁1号线(杨湾--红山),1号线,112.32366569660441,34.683926107657925
洛阳,110,地铁1号线(杨湾--红山),1号线,112.32274466176628,34.684659196520805
洛阳,111,地铁1号线(杨湾--红山),1号线,112.3219952463845,34.685392954766684
洛阳,112,地铁1号线(杨湾--红山),1号线,112.32175973887996,34.68567514491284
洛阳,113,地铁1号线(杨湾--红山),1号线,112.32157811095874,34.685966223095896
洛阳,114,地铁1号线(杨湾--红山),1号线,112.32135856619655,34.686265366564086
洛阳,115,地铁1号线(杨湾--红山),1号线,112.32113402123268,34.68667141988694
洛阳,116,地铁1号线(杨湾--红山),1号线,112.32026076499402,34.688489402132646
洛阳,117,地铁1号线(杨湾--红山),1号线,112.31900326532018,34.691178301906795
洛阳,118,地铁1号线(杨湾--红山),1号线,112.31809011392468,34.69278454722265
洛阳,119,地铁1号线(杨湾--红山),1号线,112.31782563853281,34.6933465264327
洛阳,120,地铁1号线(杨湾--红山),1号线,112.3174024785017,34.69423350345078
洛阳,121,地铁1号线(杨湾--红山),1号线,112.31715496958134,34.69475049103115
洛阳,122,地铁1号线(杨湾--红山),1号线,112.31702720397703,34.695198314119075
洛阳,123,地铁1号线(杨湾--红山),1号线,112.31696030441796,34.6956450215473
洛阳,124,地铁1号线(杨湾--红山),1号线,112.31691433853841,34.696284507049256
洛阳,125,地铁1号线(杨湾--红山),1号线,112.31689533855044,34.69668316761334
洛阳,126,地铁1号线(杨湾--红山),1号线,112.31696012020053,34.6974053625133
洛阳,127,地铁1号线(杨湾--红山),1号线,112.31713064299329,34.69837512068405
洛阳,128,地铁1号线(杨湾--红山),1号线,112.31749463769846,34.70031259169791
洛阳,129,地铁1号线(杨湾--红山),1号线,112.31778775218119,34.70259186976815
洛阳,130,地铁1号线(杨湾--红山),1号线,112.3178366139978,34.70288150121937
洛阳,131,地铁1号线(杨湾--红山),1号线,112.31784758214918,34.70295441098084
洛阳,1,地铁1号线(红山--杨湾),1号线,112.31784758214918,34.70295441098084
洛阳,2,地铁1号线(红山--杨湾),1号线,112.3178366139978,34.70288150121937
洛阳,3,地铁1号线(红山--杨湾),1号线,112.31778775218119,34.70259186976815
洛阳,4,地铁1号线(红山--杨湾),1号线,112.31749463769846,34.70031259169791
洛阳,5,地铁1号线(红山--杨湾),1号线,112.31713064299329,34.69837512068405
洛阳,6,地铁1号线(红山--杨湾),1号线,112.31696012020053,34.6974053625133
洛阳,7,地铁1号线(红山--杨湾),1号线,112.31689533855044,34.69668316761334
洛阳,8,地铁1号线(红山--杨湾),1号线,112.31691433853841,34.696284507049256
洛阳,9,地铁1号线(红山--杨湾),1号线,112.31696030441796,34.6956450215473
洛阳,10,地铁1号线(红山--杨湾),1号线,112.31702720397703,34.695198314119075
洛阳,11,地铁1号线(红山--杨湾),1号线,112.31715496958134,34.69475049103115
洛阳,12,地铁1号线(红山--杨湾),1号线,112.3174024785017,34.69423350345078
洛阳,13,地铁1号线(红山--杨湾),1号线,112.31782563853281,34.6933465264327
洛阳,14,地铁1号线(红山--杨湾),1号线,112.31809011392468,34.69278454722265
洛阳,15,地铁1号线(红山--杨湾),1号线,112.31900326532018,34.691178301906795
洛阳,16,地铁1号线(红山--杨湾),1号线,112.32026076499402,34.688489402132646
洛阳,17,地铁1号线(红山--杨湾),1号线,112.32113402123268,34.68667141988694
洛阳,18,地铁1号线(红山--杨湾),1号线,112.32135856619655,34.686265366564086
洛阳,19,地铁1号线(红山--杨湾),1号线,112.32157811095874,34.685966223095896
洛阳,20,地铁1号线(红山--杨湾),1号线,112.32175973887996,34.68567514491284
洛阳,21,地铁1号线(红山--杨湾),1号线,112.3219952463845,34.685392954766684
洛阳,22,地铁1号线(红山--杨湾),1号线,112.32274466176628,34.684659196520805
洛阳,23,地铁1号线(红山--杨湾),1号线,112.32366569660441,34.683926107657925
洛阳,24,地铁1号线(红山--杨湾),1号线,112.32445199672836,34.683516977310354
洛阳,25,地铁1号线(红山--杨湾),1号线,112.32522232043524,34.68322976551186
洛阳,26,地铁1号线(红山--杨湾),1号线,112.32623211128701,34.682986056080175
洛阳,27,地铁1号线(红山--杨湾),1号线,112.32672503448488,34.68286322641997
洛阳,28,地铁1号线(红山--杨湾),1号线,112.327786712767,34.68265339193999
洛阳,29,地铁1号线(红山--杨湾),1号线,112.32854206460337,34.682500093612184
洛阳,30,地铁1号线(红山--杨湾),1号线,112.3293692610734,34.682353655357524
洛阳,31,地铁1号线(红山--杨湾),1号线,112.33094883011185,34.68206992436973
洛阳,32,地铁1号线(红山--杨湾),1号线,112.33253240555631,34.681829163926395
洛阳,33,地铁1号线(红山--杨湾),1号线,112.33366795922338,34.681703154091686
洛阳,34,地铁1号线(红山--杨湾),1号线,112.33617260097499,34.68154065839506
洛阳,35,地铁1号线(红山--杨湾),1号线,112.33970620492191,34.6810926420596
洛阳,36,地铁1号线(红山--杨湾),1号线,112.3412690012244,34.68084308281039
洛阳,37,地铁1号线(红山--杨湾),1号线,112.3441392844366,34.67988594292516
洛阳,38,地铁1号线(红山--杨湾),1号线,112.34554753823882,34.679425954001495
洛阳,39,地铁1号线(红山--杨湾),1号线,112.3462801277985,34.67917294630753
洛阳,40,地铁1号线(红山--杨湾),1号线,112.34702570305109,34.678929917823254
洛阳,41,地铁1号线(红山--杨湾),1号线,112.3480727221049,34.67860447724137
洛阳,42,地铁1号线(红山--杨湾),1号线,112.348898183357,34.678303398195276
洛阳,43,地铁1号线(红山--杨湾),1号线,112.34973663802737,34.67799232154572
洛阳,44,地铁1号线(红山--杨湾),1号线,112.35432248708739,34.67653548523661
